Date, Open, High, Low, Close, Volume 
2005-08-16, 281.524994 , 282.500000 ,278.750000, 281.243988,6252624 
2005-08-29, 285.625000 , 288.337006 ,281.256012, 287.649994,5726016 
2005-09-15, 306.000000 , 306.875000 ,304.375000, 306.319000,3099952 
2005-09-28, 308.750000 , 309.299988 ,303.125000, 308.850006,8043088 
2005-10-05, 328.375000 , 332.625000 ,322.912994, 329.993988,12127808 
2005-10-19, 314.375000 , 315.500000 ,308.875000, 312.962006,12207624 
2005-12-13, 367.000000 , 369.375000 ,363.000000, 368.368988,8829576 
2005-12-28, 374.875000 , 375.000000 ,370.250000, 373.580994,3432264 
2006-04-20, 410.000000 , 411.250000 ,404.519012, 409.575012,6339008 
2006-04-28, 392.500000 , 394.000000 ,375.112000, 392.455994,7318512 
2006-05-03, 397.125000 , 398.993988 ,392.399994, 396.424988,5839464 
2006-05-11, 406.625000 , 409.093994 ,401.894012, 407.006012,4455880 
2006-06-07, 344.250000 , 348.750000 ,337.500000, 345.406006,7979296 
2006-06-20, 357.250000 , 358.750000 ,350.125000, 355.500000,5640256 
2006-07-05, 397.500000 , 400.537994 ,388.881012, 399.263000,8177064 
2006-07-10, 398.625000 , 399.375000 ,387.638000, 398.506012,6112264 
2006-07-14, 412.500000 , 415.263000 ,405.000000, 412.187988,6950848 
2006-07-24, 399.924988 , 404.899994 ,393.000000, 402.825012,5159252 
2006-08-18, 441.250000 , 442.187988 ,402.500000, 440.500000,2209580 
2006-08-24, 440.000000 , 443.750000 ,436.250000, 441.725006,4351456 
2006-08-28, 441.674988 , 444.274994 ,436.250000, 443.187988,2421448 
2006-09-26, 458.750000 , 461.649994 ,455.250000, 459.962006,2983460 
2006-10-06, 466.250000 , 469.924988 ,461.337006, 468.388000,3377508 
2006-10-12, 503.875000 , 506.250000 ,492.750000, 505.013000,9255100 
2006-11-16, 554.250000 , 556.174988 ,538.513000, 549.987000,6020448 
2006-11-21, 566.250000 , 566.250000 ,553.937988, 564.125000,11351276 
2006-12-18, 559.500000 , 565.000000 ,545.525024, 556.125000,7886696 
2007-01-11, 545.250000 , 553.724976 ,523.786987, 545.750000,17046104 
2007-01-29, 558.750000 , 563.750000 ,553.088013, 561.099976,3275456 
2007-01-31, 560.000000 , 563.750000 ,555.338013, 561.825012,4585552 
2007-02-02, 568.750000 , 570.000000 ,560.525024, 566.388000,4921460 
2007-02-08, 591.250000 , 595.000000 ,583.400024, 593.424988,3285724 
2007-02-26, 558.500000 , 561.750000 ,538.750000, 554.536987,5835124 
2007-03-13, 529.250000 , 532.487000 ,517.450012, 526.263000,5732912 
2007-04-04, 495.000000 , 499.962006 ,487.549988, 498.575012,6044792 
2007-04-05, 497.500000 , 499.975006 ,486.412994, 498.075012,3064900 
2007-05-04, 520.075012 , 522.500000 ,513.036987, 517.974976,3677160 
2007-06-21, 488.500000 , 491.500000 ,483.799988, 489.612000,3379340 
2007-07-03, 487.500000 , 488.263000 ,483.825012, 486.850006,2816980 
2007-07-27, 500.250000 , 503.750000 ,490.412994, 501.962006,6933244 
2007-08-14, 487.500000 , 490.250000 ,483.662994, 488.850006,2245336 
2007-08-27, 459.750000 , 462.750000 ,454.075012, 461.924988,2682456 
2007-09-04, 480.674988 , 480.674988 ,443.750000, 472.424988,2796884 
2007-10-01, 473.750000 , 478.750000 ,463.174988, 476.337006,6059448 
2007-10-04, 502.500000 , 502.500000 ,490.500000, 499.725006,7177464 
2007-11-01, 467.912994 , 470.000000 ,459.000000, 468.487000,4761264 
2007-12-10, 434.875000 , 441.924988 ,425.000000, 437.174988,6213084 
2007-12-11, 437.174988 , 439.750000 ,426.750000, 436.075012,4222196 
2007-12-26, 455.000000 , 456.388000 ,442.500000, 454.450012,2302188 
